"Type","UniqueName","Name"
"BPLegalEntity","BP Alternative Energy North America Inc.","BP Alternative Energy North America Inc."
"BPLegalEntity","BP America Chembel Holding LLC","BP America Chembel Holding LLC"
"BPLegalEntity","BP America Chemicals Company","BP America Chemicals Company"
"BPLegalEntity","BP America Foreign Investments Inc.","BP America Foreign Investments Inc."
"BPLegalEntity","BP America Inc.","BP America Inc."
"BPLegalEntity","BP America Limited","BP America Limited"
"BPLegalEntity","BP America Production Company","BP America Production Company"
"BPLegalEntity","BP AMI Leasing, Inc.","BP AMI Leasing, Inc."
"BPLegalEntity","BP Amoco Chemical Company","BP Amoco Chemical Company"
"BPLegalEntity","BP Amoco Chemical Holding Company","BP Amoco Chemical Holding Company"
"BPLegalEntity","BP Amoco Chemical Indonesia Limited","BP Amoco Chemical Indonesia Limited"
"BPLegalEntity","BP Amoco Chemical Malaysia Holding Company","BP Amoco Chemical Malaysia Holding Company"
"BPLegalEntity","BP Amoco Chemical Singapore Holding Company","BP Amoco Chemical Singapore Holding Company"
"BPLegalEntity","BP Amoco Exploration (Faroes) Limited","BP Amoco Exploration (Faroes) Limited"
"BPLegalEntity","BP Amoco Exploration (In Amenas) Limited","BP Amoco Exploration (In Amenas) Limited"
"BPLegalEntity","BP Amoco Neighborhood Development Corporation","BP Amoco Neighborhood Development Corporation"
"BPLegalEntity","BP Angola (Block 18) B.V.","BP Angola (Block 18) B.V."
"BPLegalEntity","BP Argentina Exploration Company","BP Argentina Exploration Company"
"BPLegalEntity","BP Aromatics Holdings Limited","BP Aromatics Holdings Limited"
"BPLegalEntity","BP Aromatics Limited","BP Aromatics Limited"
"BPLegalEntity","BP Aromatics Limited N.V.","BP Aromatics Limited N.V."
"BPLegalEntity","BP Asia Limited","BP Asia Limited"
"BPLegalEntity","BP Asia Pacific (Malaysia) Sdn. Bhd.","BP Asia Pacific (Malaysia) Sdn. Bhd."
"BPLegalEntity","BP Asia Pacific Holdings Limited","BP Asia Pacific Holdings Limited"
"BPLegalEntity","BP Asia Pacific Pte Ltd","BP Asia Pacific Pte Ltd"
"BPLegalEntity","BP Australia Capital Markets Limited","BP Australia Capital Markets Limited"
"BPLegalEntity","BP Australia Employee Share Plan Proprietary Limited","BP Australia Employee Share Plan Proprietary Limited"
"BPLegalEntity","BP Australia Group Pty Ltd","BP Australia Group Pty Ltd"
"BPLegalEntity","BP Australia Investments Pty Ltd","BP Australia Investments Pty Ltd"
"BPLegalEntity","BP Australia Nominees Proprietary Limited","BP Australia Nominees Proprietary Limited"
"BPLegalEntity","BP Australia Pty Ltd","BP Australia Pty Ltd"
"BPLegalEntity","BP Australia Shipping Pty Ltd","BP Australia Shipping Pty Ltd"
"BPLegalEntity","BP Australia Swaps Management Limited","BP Australia Swaps Management Limited"
"BPLegalEntity","BP Aviation A/S","BP Aviation A/S"
"BPLegalEntity","BP Benevolent Fund Trustees Limited","BP Benevolent Fund Trustees Limited"
"BPLegalEntity","BP Berau Ltd.","BP Berau Ltd."
"BPLegalEntity","BP Biocombustíveis S.A.","BP Biocombustíveis S.A."
"BPLegalEntity","BP Bioenergia Campina Verde Ltda.","BP Bioenergia Campina Verde Ltda."
"BPLegalEntity","BP Bioenergia Ituiutaba Ltda.","BP Bioenergia Ituiutaba Ltda."
"BPLegalEntity","BP Bioenergia Itumbiara S.A.","BP Bioenergia Itumbiara S.A."
"BPLegalEntity","BP Bioenergia Tropical S.A.","BP Bioenergia Tropical S.A."
"BPLegalEntity","BP Biofuels Advanced Technology Inc.","BP Biofuels Advanced Technology Inc."
"BPLegalEntity","BP Biofuels Brazil Investments Limited","BP Biofuels Brazil Investments Limited"
"BPLegalEntity","BP Biofuels Louisiana LLC","BP Biofuels Louisiana LLC"
"BPLegalEntity","BP Biofuels North America LLC","BP Biofuels North America LLC"
"BPLegalEntity","BP Biofuels Trading Comércio, Importação e Exportação Ltda.","BP Biofuels Trading Comércio, Importação e Exportação Ltda."
"BPLegalEntity","BP Biofuels UK Limited","BP Biofuels UK Limited"
"BPLegalEntity","BP Bomberai Ltd.","BP Bomberai Ltd."
"BPLegalEntity","BP Brasil Ltda.","BP Brasil Ltda."
"BPLegalEntity","BP Brazil Tracking L.L.C.","BP Brazil Tracking L.L.C."
"BPLegalEntity","BP Bulwer Island Pty Ltd","BP Bulwer Island Pty Ltd"
"BPLegalEntity","BP Business Service Centre Asia Sdn Bhd","BP Business Service Centre Asia Sdn Bhd"
"BPLegalEntity","BP Business Service Centre KFT","BP Business Service Centre KFT"
"BPLegalEntity","BP Canada Energy Development Company","BP Canada Energy Development Company"
"BPLegalEntity","BP Canada Energy Group ULC","BP Canada Energy Group ULC"
"BPLegalEntity","BP Canada Energy Marketing Corp.","BP Canada Energy Marketing Corp."
"BPLegalEntity","BP Canada International Holdings B.V.","BP Canada International Holdings B.V."
"BPLegalEntity","BP Canada Investments Inc.","BP Canada Investments Inc."
"BPLegalEntity","BP Capellen Sarl","BP Capellen Sarl"
"BPLegalEntity","BP Capital EURO V.O.F.","BP Capital EURO V.O.F."
"BPLegalEntity","BP Capital Markets America Inc.","BP Capital Markets America Inc."
"BPLegalEntity","BP Capital Markets p.l.c.","BP Capital Markets p.l.c."
"BPLegalEntity","BP Caplux S.A.","BP Caplux S.A."
"BPLegalEntity","BP Car Fleet Limited","BP Car Fleet Limited "
"BPLegalEntity","BP Caribbean Company","BP Caribbean Company"
"BPLegalEntity","BP Castrol KK","BP Castrol KK"
"BPLegalEntity","BP Castrol Lubricants (Malaysia) Sdn. Bhd.","BP Castrol Lubricants (Malaysia) Sdn. Bhd."
"BPLegalEntity","BP Chembel N.V.","BP Chembel N.V."
"BPLegalEntity","BP Chemical US Sales Company","BP Chemical US Sales Company"
"BPLegalEntity","BP Chemicals (Korea) Limited","BP Chemicals (Korea) Limited"
"BPLegalEntity","BP Chemicals East China Investments Limited","BP Chemicals East China Investments Limited"
"BPLegalEntity","BP Chemicals France Holding","BP Chemicals France Holding"
"BPLegalEntity","BP Chemicals Investments Limited","BP Chemicals Investments Limited"
"BPLegalEntity","BP Chemicals Limited","BP Chemicals Limited"
"BPLegalEntity","BP Chemicals Trading Limited","BP Chemicals Trading Limited"
"BPLegalEntity","BP Chile Petrolera Limitada","BP Chile Petrolera Limitada"
"BPLegalEntity","BP China Exploration and Production Company","BP China Exploration and Production Company"
"BPLegalEntity","BP China Limited","BP China Limited"
"BPLegalEntity","BP Company North America Inc.","BP Company North America Inc."
"BPLegalEntity","BP Containment Response Limited","BP Containment Response Limited"
"BPLegalEntity","BP Containment Response System Holdings LLC","BP Containment Response System Holdings LLC"
"BPLegalEntity","BP Continental Holdings Limited","BP Continental Holdings Limited"
"BPLegalEntity","BP Corporate Holdings Limited","BP Corporate Holdings Limited"
"BPLegalEntity","BP Corporation North America Inc.","BP Corporation North America Inc."
"BPLegalEntity","BP Danmark A/S","BP Danmark A/S"
"BPLegalEntity","BP Developments Australia Pty. Ltd.","BP Developments Australia Pty. Ltd."
"BPLegalEntity","BP Dogal Gaz Ticaret Anonim Sirketi","BP Dogal Gaz Ticaret Anonim Sirketi"
"BPLegalEntity","BP East Kalimantan CBM Limited","BP East Kalimantan CBM Limited"
"BPLegalEntity","BP East Kalimantan Limited","BP East Kalimantan Limited"
"BPLegalEntity","BP Eastern Mediterranean Limited","BP Eastern Mediterranean Limited"
"BPLegalEntity","BP Egypt Company","BP Egypt Company"
"BPLegalEntity","BP Egypt East Delta Marine Corporation","BP Egypt East Delta Marine Corporation"
"BPLegalEntity","BP Egypt East Tanka B.V.","BP Egypt East Tanka B.V."
"BPLegalEntity","BP Egypt Production B.V.","BP Egypt Production B.V."
"BPLegalEntity","BP Egypt Ras El Barr B.V.","BP Egypt Ras El Barr B.V."
"BPLegalEntity","BP Egypt West Mediterranean (Block B) B.V.","BP Egypt West Mediterranean (Block B) B.V."
"BPLegalEntity","BP Energía México, S. de R.L. de C.V.","BP Energía México, S. de R.L. de C.V."
"BPLegalEntity","BP Energy Asia Pte. Limited","BP Energy Asia Pte. Limited"
"BPLegalEntity","BP Energy Colombia Limited","BP Energy Colombia Limited"
"BPLegalEntity","BP Energy Company","BP Energy Company"
"BPLegalEntity","BP Energy do Brasil Ltda.","BP Energy do Brasil Ltda."
"BPLegalEntity","BP Energy Europe Limited","BP Energy Europe Limited"
"BPLegalEntity","BP Espana, S.A. Unipersonal","BP Espana, S.A. Unipersonal"
"BPLegalEntity","BP Estaciones y Servicios Energéticos, Sociedad Anónima de Capital Variable","BP Estaciones y Servicios Energéticos, Sociedad Anónima de Capital Variable"
"BPLegalEntity","BP Europa SE","BP Europa SE"
"BPLegalEntity","BP Exploration & Production Inc.","BP Exploration & Production Inc."
"BPLegalEntity","BP Exploration (Alaska) Inc.","BP Exploration (Alaska) Inc."
"BPLegalEntity","BP Exploration (Algeria) Limited","BP Exploration (Algeria) Limited"
"BPLegalEntity","BP Exploration (Alpha) Limited","BP Exploration (Alpha) Limited"
"BPLegalEntity","BP Exploration (Angola) Limited","BP Exploration (Angola) Limited"
"BPLegalEntity","BP Exploration (Azerbaijan) Limited","BP Exploration (Azerbaijan) Limited"
"BPLegalEntity","BP Exploration (Canada) Limited","BP Exploration (Canada) Limited"
"BPLegalEntity","BP Exploration (Caspian Sea) Limited","BP Exploration (Caspian Sea) Limited"
"BPLegalEntity","BP Exploration (Delta) Limited","BP Exploration (Delta) Limited"
"BPLegalEntity","BP Exploration (El Djazair) Limited","BP Exploration (El Djazair) Limited"
"BPLegalEntity","BP Exploration (Epsilon) Limited","BP Exploration (Epsilon) Limited"
"BPLegalEntity","BP Exploration (Finance) Limited","BP Exploration (Finance) Limited"
"BPLegalEntity","BP Exploration (Greenland) Limited","BP Exploration (Greenland) Limited"
"BPLegalEntity","BP Exploration (Morocco) Limited","BP Exploration (Morocco) Limited"
"BPLegalEntity","BP Exploration (Namibia) Limited","BP Exploration (Namibia) Limited"
"BPLegalEntity","BP Exploration (Nigeria Finance) Limited","BP Exploration (Nigeria Finance) Limited"
"BPLegalEntity","BP Exploration (Nigeria) Limited","BP Exploration (Nigeria) Limited"
"BPLegalEntity","BP Exploration (Shafag-Asiman) Limited","BP Exploration (Shafag-Asiman) Limited"
"BPLegalEntity","BP Exploration (Shah Deniz) Limited","BP Exploration (Shah Deniz) Limited"
"BPLegalEntity","BP Exploration (South Atlantic) Limited","BP Exploration (South Atlantic) Limited"
"BPLegalEntity","BP Exploration (Vietnam) Limited","BP Exploration (Vietnam) Limited"
"BPLegalEntity","BP EXPLORATION (XAZAR) PTE. LTD.","BP EXPLORATION (XAZAR) PTE. LTD. "
"BPLegalEntity","BP Exploration Angola (Kwanza Benguela) Limited","BP Exploration Angola (Kwanza Benguela) Limited"
"BPLegalEntity","BP Exploration Australia Pty Ltd","BP Exploration Australia Pty Ltd"
